Site,Other,Macroalgae,CCA,Filter Feeders,Sea Urchin,Soft Corals,Corals
Papagayo,1.111111111,37.86666667,46.44444444,0.8,2.666666667,0.222222222,10.88888889
Papagayo,5.377777778,55.64444445,22.53333333,0.133333333,1.511111111,0.044444444,14.75555556
Papagayo,2,50.93333334,27.46666667,0.222222222,3.777777778,0,15.6
Papagayo,0.844444444,60.71111111,15.82222222,0.044444444,2.888888889,0,19.68888889
Papagayo,1.155555556,64.22222222,24.66666667,0.133333333,0.755555556,0.133333333,8.933333333
Papagayo,2.088888889,63.73333334,18.22222222,0.222222222,0.844444444,0.088888889,14.8
Samara,2.711111111,83.55555556,12.17777778,0,0.044444444,0.088888889,1.422222223
Samara,8.577777778,64.75555556,5.911111111,0.044444444,0.177777778,0,20.53333333
Samara,1.466666667,85.33333334,5.288888889,0,0.044444444,0.088888889,7.777777778
Samara,2.216666667,76.16666667,13.89166667,0.775,0,5.383333333,1.566666667
