Site,"""Pavona"" spp.","""Pocillopora"" spp.","""Porites"" spp.","""Psammocora stellata""",Other,Macroalgae,CCA,Filter feeders,"""Diadema"" spp.",Soft Corals
Papagayo,0,10.75555556,0.133333333,0,1.111111111,37.86666667,46.44444444,0.8,2.666666667,0.222222222
Papagayo,6.8,4.977777778,2.577777778,0.4,5.377777778,55.64444445,22.53333333,0.133333333,1.511111111,0.044444444
Papagayo,1.866666667,12.31111111,1.244444444,0.177777778,2,50.93333334,27.46666667,0.222222222,3.777777778,0
Papagayo,0.311111111,16.71111111,2.488888889,0.177777778,0.844444444,60.71111111,15.82222222,0.044444444,2.888888889,0
Papagayo,2.666666667,5.822222222,0.444444444,0,1.155555556,64.22222222,24.66666667,0.133333333,0.755555556,0.133333333
Papagayo,0.8,13.51111111,0.488888889,0,2.088888889,63.73333334,18.22222222,0.222222222,0.844444444,0.088888889
Samara,0,0.666666667,0.088888889,0.666666667,2.711111111,83.55555556,12.17777778,0,0.044444444,0.088888889
Samara,0,0.133333333,20.4,0,8.577777778,64.75555556,5.911111111,0.044444444,0.177777778,0
Samara,0.222222222,2.977777778,2.266666667,2.311111111,1.466666667,85.33333334,5.288888889,0,0.044444444,0.088888889
Samara,0,0,1.566666667,0,2.216666667,76.16666667,13.89166667,0.775,0,5.383333333
