PIC,SITE,TRANSACT,GROUP,LABEL,Live_Non_live,Count
1,Papagayo,1,Algae,Turf algae,Live,88
1,Papagayo,1,CCA,Red CCA,Live,8
2,Papagayo,1,Algae,Turf algae,Live,52
2,Papagayo,1,CCA,Pink CCA,Live,16
2,Papagayo,1,Hard Coral,Pocillopora effusa,Live,20
2,Papagayo,1,Substrate,Gravel,Non-live,8
3,Papagayo,1,Algae,Turf algae,Live,48
3,Papagayo,1,CCA,Pink CCA,Live,4
3,Papagayo,1,CCA,Red CCA,Live,8
3,Papagayo,1,Hard Coral,Pocillopora effusa,Live,32
3,Papagayo,1,Substrate,Sand,Non-live,4
4,Papagayo,1,Algae,Turf algae,Live,52
4,Papagayo,1,CCA,Pink CCA,Live,28
4,Papagayo,1,CCA,Red CCA,Live,4
4,Papagayo,1,Diadema,Diadema sp,Live,4
4,Papagayo,1,Hard Coral,Pocillopora effusa,Live,12
5,Papagayo,1,Algae,Turf algae,Live,40
5,Papagayo,1,CCA,Pink CCA,Live,20
5,Papagayo,1,CCA,Red CCA,Live,8
5,Papagayo,1,Hard Coral,Pocillopora effusa,Live,28
5,Papagayo,1,Substrate,Sand,Non-live,4
6,Papagayo,1,Algae,Galaxaura,Live,4
6,Papagayo,1,Algae,Turf algae,Live,64
6,Papagayo,1,CCA,Pink CCA,Live,24
6,Papagayo,1,CCA,Red CCA,Live,4
6,Papagayo,1,Substrate,Gravel,Non-live,4
7,Papagayo,1,Algae,Turf algae,Live,56
7,Papagayo,1,CCA,Pink CCA,Live,24
7,Papagayo,1,CCA,White CCA,Live,4
7,Papagayo,1,Hard Coral,Pocillopora effusa,Live,16
8,Papagayo,1,Algae,Turf algae,Live,16
8,Papagayo,1,CCA,Pink CCA,Live,48
8,Papagayo,1,CCA,Red CCA,Live,8
8,Papagayo,1,CCA,White CCA,Live,4
8,Papagayo,1,Diadema,Diadema sp,Live,4
8,Papagayo,1,Hard Coral,Pocillopora effusa,Live,20
9,Papagayo,1,Algae,Turf algae,Live,20
9,Papagayo,1,CCA,Pink CCA,Live,60
9,Papagayo,1,CCA,Red CCA,Live,4
9,Papagayo,1,Diadema,Diadema sp,Live,4
9,Papagayo,1,Hard Coral,Pocillopora effusa,Live,8
9,Papagayo,1,Substrate,Gravel,Non-live,4
10,Papagayo,1,Algae,Galaxaura,Live,8
10,Papagayo,1,Algae,Turf algae,Live,28
10,Papagayo,1,CCA,Pink CCA,Live,8
10,Papagayo,1,CCA,Red CCA,Live,20
10,Papagayo,1,Sponge,Sponge,Non-live,32
10,Papagayo,1,Substrate,Rock,Non-live,4
11,Papagayo,1,Algae,Turf algae,Live,48
11,Papagayo,1,CCA,Pink CCA,Live,12
11,Papagayo,1,CCA,Red CCA,Live,8
11,Papagayo,1,CCA,White CCA,Live,4
11,Papagayo,1,Hard Coral,Pocillopora effusa,Live,24
11,Papagayo,1,Substrate,Gravel,Non-live,4
12,Papagayo,1,Algae,Turf algae,Live,20
12,Papagayo,1,CCA,Pink CCA,Live,44
12,Papagayo,1,CCA,Red CCA,Live,8
12,Papagayo,1,Diadema,Diadema sp,Live,4
12,Papagayo,1,Hard Coral,Pocillopora effusa,Live,16
13,Papagayo,1,Algae,Turf algae,Live,60
13,Papagayo,1,CCA,Pink CCA,Live,8
13,Papagayo,1,CCA,Red CCA,Live,4
13,Papagayo,1,Hard Coral,Pocillopora effusa,Live,16
13,Papagayo,1,Substrate,Sand,Non-live,4
14,Papagayo,1,Algae,Turf algae,Live,32
14,Papagayo,1,CCA,Pink CCA,Live,48
